,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,fixed_sulfur_dioxide
726,7.3,0.24,0.29,1.2,0.037,37.0,97.0,0.9926,3.19,0.64,10.1,6,60.0
727,6.0,0.4,0.49,9.7,0.058,15.0,159.0,0.9956,3.04,0.48,9.4,5,144.0
728,6.3,0.26,0.22,4.0,0.03,24.0,125.0,0.9915,3.06,0.36,10.7,6,101.0
729,8.0,0.17,0.47,1.4,0.037,15.0,86.0,0.9939,3.01,0.36,9.6,3,71.0
730,7.7,0.17,0.29,1.3,0.03,15.0,86.0,0.9932,3.35,0.39,10.1,5,71.0
731,7.1,0.21,0.32,2.2,0.037,28.0,141.0,0.993,3.2,0.57,10.0,7,113.0
732,6.9,0.36,0.34,4.2,0.03,57.0,119.0,0.99022,3.28,0.36,12.7,9,62.0
733,6.0,0.28,0.34,1.6,0.058,33.0,104.0,0.9921,3.19,0.38,10.2,6,71.0
734,6.2,0.17,0.49,1.4,0.058,37.0,110.0,0.9932,3.23,0.37,8.9,6,73.0
735,6.9,0.17,0.36,2.2,0.037,18.0,111.0,0.9919,3.39,0.64,11.9,8,93.0
736,8.0,0.36,0.44,1.9,0.04,15.0,121.0,0.9953,3.19,0.48,9.9,6,106.0
737,7.4,0.26,0.43,6.0,0.03,22.0,125.0,0.9928,3.13,0.55,11.5,6,103.0
738,6.8,0.23,0.29,12.2,0.035,38.0,195.0,0.9976,3.35,0.52,9.8,6,157.0
739,6.1,0.34,0.27,2.6,0.03,20.0,105.0,0.9906,3.39,0.64,12.2,7,85.0
740,7.3,0.26,0.31,1.6,0.04,39.0,173.0,0.9918,3.19,0.51,11.4,6,134.0
741,6.5,0.3,0.32,2.0,0.044,34.0,90.0,0.99185,3.37,0.64,11.0,7,56.0
742,5.8,0.31,0.22,6.4,0.046,43.0,166.0,0.994,3.3,0.63,9.9,6,123.0
743,5.8,0.26,0.22,1.2,0.031,40.0,114.0,0.9908,3.39,0.4,11.0,7,74.0
744,5.9,0.26,0.3,1.2,0.036,38.0,114.0,0.9928,3.39,0.48,9.4,5,76.0
745,7.0,0.31,0.29,1.4,0.037,33.0,128.0,0.99022,3.12,0.36,12.2,7,95.0
746,5.8,0.19,0.39,1.2,0.043,17.0,86.0,0.9918,3.23,0.53,10.3,6,69.0
747,6.8,0.18,0.28,8.7,0.047,52.0,195.0,0.9952,3.22,0.53,10.5,6,143.0
748,7.0,0.29,0.26,1.6,0.044,15.0,87.0,0.9923,3.08,0.46,10.5,6,72.0
749,6.6,0.26,0.29,1.4,0.039,15.0,86.0,0.9915,3.05,0.49,10.9,6,71.0
750,6.8,0.18,0.28,8.5,0.047,52.0,195.0,0.9952,3.22,0.53,10.5,6,143.0
751,6.6,0.2,0.38,7.9,0.052,30.0,145.0,0.9947,3.32,0.56,11.0,7,115.0
752,8.0,0.29,0.29,13.0,0.046,26.0,113.0,0.9978,3.25,0.37,9.7,6,87.0
753,6.1,0.28,0.35,12.8,0.048,57.0,195.0,0.9975,3.08,0.4,8.9,5,138.0
754,5.9,0.31,0.3,7.7,0.047,57.0,195.0,0.995,3.2,0.39,9.6,6,138.0
755,6.9,0.21,0.28,2.4,0.056,49.0,159.0,0.9944,3.02,0.47,8.8,8,110.0
756,8.0,0.19,0.42,1.6,0.047,15.0,101.0,0.994,3.06,0.64,11.1,4,86.0
757,8.0,0.27,0.45,1.3,0.048,15.0,86.0,0.9944,3.08,0.61,10.3,4,71.0
758,7.1,0.25,0.39,2.1,0.036,30.0,124.0,0.9908,3.28,0.43,12.2,8,94.0
759,8.0,0.23,0.37,9.6,0.054,23.0,159.0,0.9978,3.32,0.47,9.8,4,136.0
760,7.5,0.24,0.31,13.0,0.049,46.0,195.0,0.9978,3.08,0.53,8.8,5,149.0
761,6.3,0.33,0.22,5.8,0.04,24.0,144.0,0.99425,3.15,0.63,9.9,5,120.0
762,6.2,0.33,0.22,5.6,0.042,22.0,143.0,0.99425,3.15,0.63,9.9,5,121.0
763,6.3,0.34,0.22,5.8,0.041,22.0,145.0,0.9943,3.15,0.63,9.9,5,123.0
764,5.8,0.29,0.22,1.2,0.038,15.0,86.0,0.9924,3.36,0.36,9.2,5,71.0
765,8.0,0.32,0.26,1.2,0.05,15.0,88.0,0.9946,3.24,0.37,9.5,4,73.0
766,5.8,0.29,0.22,1.2,0.038,15.0,86.0,0.9924,3.36,0.36,9.2,5,71.0
767,7.4,0.17,0.39,4.7,0.042,36.0,137.0,0.995,3.36,0.56,10.3,7,101.0
768,7.7,0.3,0.32,1.6,0.037,23.0,124.0,0.9919,3.01,0.36,11.0,6,101.0
769,7.0,0.24,0.34,1.4,0.031,27.0,107.0,0.99022,3.06,0.39,11.9,6,80.0
770,8.0,0.18,0.4,1.2,0.04,20.0,107.0,0.9923,3.01,0.36,10.2,7,87.0
771,7.0,0.17,0.32,4.6,0.057,57.0,144.0,0.9956,3.39,0.44,9.4,7,87.0
772,7.7,0.32,0.49,10.6,0.036,56.0,153.0,0.9978,3.13,0.44,8.9,6,97.0
773,6.5,0.26,0.27,12.9,0.044,57.0,195.0,0.9967,3.17,0.43,10.0,6,138.0
774,7.9,0.28,0.41,2.0,0.044,50.0,152.0,0.9934,3.39,0.49,10.7,8,102.0
775,6.3,0.27,0.23,2.9,0.047,15.0,100.0,0.9936,3.28,0.43,9.8,5,85.0
776,5.8,0.4,0.22,2.8,0.042,26.0,86.0,0.9932,3.36,0.38,9.3,5,60.0
777,6.7,0.25,0.33,2.9,0.057,52.0,173.0,0.9934,3.02,0.48,9.5,7,121.0
778,6.5,0.25,0.35,12.0,0.055,47.0,179.0,0.9978,3.39,0.47,10.0,5,132.0
779,6.1,0.36,0.49,13.0,0.044,42.0,115.0,0.9978,3.15,0.51,9.0,5,73.0
780,7.7,0.17,0.49,5.9,0.03,21.0,86.0,0.9929,3.14,0.4,11.9,7,65.0
781,6.4,0.26,0.43,12.6,0.033,57.0,195.0,0.9974,3.08,0.38,8.9,5,138.0
782,6.5,0.26,0.28,12.5,0.046,57.0,195.0,0.99685,3.18,0.41,10.0,6,138.0
783,5.9,0.29,0.33,7.4,0.037,57.0,195.0,0.99495,3.26,0.41,9.6,5,138.0
784,6.2,0.28,0.43,13.0,0.039,57.0,195.0,0.99745,3.08,0.38,8.9,5,138.0
785,6.1,0.27,0.44,6.7,0.041,57.0,195.0,0.99505,3.12,0.4,8.9,5,138.0
786,6.4,0.4,0.32,1.4,0.048,15.0,86.0,0.992,3.08,0.41,11.4,5,71.0
787,6.2,0.35,0.29,7.3,0.044,56.0,195.0,0.9956,3.36,0.55,10.0,6,139.0
788,7.7,0.24,0.29,13.0,0.044,39.0,194.0,0.9978,3.06,0.47,9.6,7,155.0
789,6.2,0.34,0.28,7.5,0.034,40.0,195.0,0.99485,3.14,0.6,9.7,5,155.0
790,6.3,0.27,0.46,11.75,0.037,57.0,195.0,0.9971,3.25,0.53,9.5,6,138.0
791,5.8,0.4,0.22,1.6,0.039,27.0,88.0,0.99265,3.39,0.41,10.0,7,61.0
792,6.9,0.4,0.36,3.5,0.03,31.0,135.0,0.9904,3.14,0.38,12.2,7,104.0
793,6.5,0.18,0.33,8.0,0.051,16.0,131.0,0.9965,3.28,0.44,8.7,7,115.0
794,6.7,0.17,0.29,5.0,0.058,28.0,105.0,0.9946,3.39,0.44,10.2,7,77.0
795,8.0,0.345,0.49,13.0,0.047,55.0,195.0,0.9978,3.01,0.43,9.6,5,140.0
796,8.0,0.17,0.35,1.6,0.039,24.0,147.0,0.9935,3.01,0.36,10.0,5,123.0
797,6.8,0.4,0.25,3.2,0.048,15.0,86.0,0.996,3.36,0.52,9.5,4,71.0
798,7.3,0.25,0.39,6.4,0.034,15.0,86.0,0.9942,3.18,0.46,11.5,5,71.0
799,7.6,0.345,0.26,1.9,0.043,15.0,134.0,0.9936,3.08,0.38,9.5,5,119.0
800,7.6,0.22,0.34,9.7,0.035,26.0,143.0,0.9965,3.08,0.49,9.8,6,117.0
801,6.5,0.17,0.33,1.4,0.03,15.0,99.0,0.9928,3.23,0.55,10.1,6,84.0
802,8.0,0.23,0.37,1.3,0.042,39.0,117.0,0.9928,3.01,0.36,10.0,5,78.0
803,7.5,0.32,0.26,1.8,0.042,15.0,133.0,0.9938,3.07,0.38,9.5,5,118.0
804,6.6,0.23,0.32,1.2,0.041,25.0,86.0,0.9926,3.39,0.54,10.2,7,61.0
805,6.6,0.2,0.32,1.2,0.039,25.0,86.0,0.9926,3.39,0.54,10.2,7,61.0
806,7.3,0.24,0.34,13.0,0.05,38.0,174.0,0.9978,3.03,0.42,9.0,6,136.0
807,8.0,0.4,0.36,5.0,0.037,34.0,101.0,0.992,3.13,0.57,12.3,7,67.0
808,6.1,0.19,0.25,4.0,0.03,23.0,112.0,0.9923,3.37,0.51,11.6,6,89.0
809,5.9,0.26,0.22,12.5,0.034,36.0,152.0,0.9972,3.28,0.43,9.5,6,116.0
810,8.0,0.23,0.43,3.2,0.035,15.0,101.0,0.9928,3.15,0.36,11.5,5,86.0
811,6.5,0.34,0.28,1.8,0.041,43.0,188.0,0.9928,3.13,0.37,9.6,6,145.0
812,6.8,0.22,0.35,13.0,0.039,38.0,153.0,0.9978,3.24,0.42,9.0,6,115.0
813,6.5,0.17,0.33,1.9,0.03,23.0,93.0,0.991,3.34,0.64,12.0,7,70.0
814,5.8,0.4,0.22,1.6,0.03,18.0,86.0,0.9906,3.33,0.51,11.4,7,68.0
815,5.8,0.4,0.22,1.5,0.03,25.0,102.0,0.99022,3.38,0.36,12.3,7,77.0
816,6.0,0.27,0.22,1.7,0.03,24.0,110.0,0.99022,3.32,0.47,12.6,7,86.0
817,7.1,0.17,0.38,1.8,0.046,15.0,114.0,0.9925,3.32,0.64,11.7,6,99.0
818,7.6,0.3,0.25,4.3,0.054,22.0,111.0,0.9956,3.12,0.49,9.2,5,89.0
819,6.6,0.17,0.3,4.9,0.058,47.0,131.0,0.9946,3.39,0.45,10.3,6,84.0
820,6.5,0.17,0.33,7.6,0.05,53.0,189.0,0.9966,3.25,0.49,8.6,5,136.0
821,7.7,0.28,0.33,6.7,0.037,32.0,155.0,0.9951,3.39,0.62,10.7,7,123.0
822,6.0,0.2,0.49,1.6,0.058,15.0,86.0,0.9927,3.12,0.47,9.8,5,71.0
823,6.0,0.19,0.49,1.5,0.058,15.0,86.0,0.9927,3.12,0.46,9.8,6,71.0
824,5.8,0.39,0.22,1.7,0.03,15.0,86.0,0.99022,3.39,0.45,12.5,6,71.0
825,5.8,0.36,0.34,4.2,0.03,21.0,86.0,0.9907,3.39,0.45,11.9,6,65.0
826,6.9,0.19,0.33,1.6,0.043,57.0,149.0,0.9925,3.39,0.52,10.8,5,92.0
827,6.0,0.4,0.22,1.9,0.05,29.0,122.0,0.9928,3.39,0.52,10.5,6,93.0
828,7.4,0.28,0.3,5.3,0.054,44.0,161.0,0.9941,3.12,0.48,10.3,6,117.0
829,7.4,0.3,0.3,5.2,0.053,45.0,163.0,0.9941,3.12,0.45,10.3,6,118.0
830,7.7,0.28,0.39,8.9,0.036,15.0,117.0,0.9935,3.06,0.38,12.0,7,102.0
831,8.0,0.17,0.38,3.4,0.04,41.0,143.0,0.9932,3.01,0.39,10.2,6,102.0
832,8.0,0.26,0.44,1.3,0.046,15.0,86.0,0.9944,3.14,0.62,10.2,4,71.0
833,6.5,0.25,0.27,13.0,0.049,57.0,195.0,0.9972,3.19,0.39,9.9,5,138.0
834,7.0,0.24,0.22,1.3,0.046,15.0,86.0,0.994,3.38,0.47,10.1,4,71.0
835,8.0,0.18,0.36,1.8,0.04,24.0,187.0,0.9956,3.25,0.55,9.5,6,163.0
836,7.8,0.27,0.34,1.6,0.046,27.0,154.0,0.9927,3.05,0.45,10.5,6,127.0
837,6.0,0.26,0.34,1.3,0.046,15.0,86.0,0.9924,3.29,0.63,10.4,5,71.0
838,6.1,0.24,0.27,9.8,0.058,33.0,152.0,0.9966,3.31,0.47,9.5,6,119.0
839,8.0,0.24,0.3,13.0,0.056,43.0,184.0,0.9978,3.05,0.5,9.2,6,141.0
840,7.6,0.21,0.49,2.1,0.046,47.0,165.0,0.9936,3.05,0.54,10.1,7,118.0
841,8.0,0.19,0.36,1.8,0.05,16.0,86.0,0.9936,3.15,0.45,9.8,7,70.0
842,6.4,0.28,0.41,6.8,0.045,57.0,195.0,0.9952,3.09,0.46,9.4,5,138.0
843,6.4,0.28,0.43,7.1,0.045,57.0,195.0,0.9952,3.09,0.45,9.4,6,138.0
844,6.9,0.24,0.39,1.3,0.058,18.0,136.0,0.9928,3.31,0.48,10.4,7,118.0
845,5.8,0.36,0.26,3.3,0.038,40.0,153.0,0.9911,3.34,0.55,11.3,6,113.0
846,6.6,0.18,0.28,3.3,0.044,18.0,91.0,0.993,3.39,0.64,10.8,6,73.0
847,5.8,0.4,0.22,2.7,0.052,30.0,86.0,0.9932,3.32,0.43,9.3,5,56.0
848,6.6,0.22,0.37,1.2,0.058,45.0,195.0,0.993,3.37,0.55,10.3,7,150.0
849,8.0,0.17,0.39,1.3,0.055,32.0,146.0,0.993,3.08,0.39,10.5,6,114.0
850,7.6,0.17,0.44,1.4,0.043,25.0,109.0,0.9932,3.11,0.64,10.3,6,84.0
851,7.7,0.17,0.41,1.7,0.048,57.0,173.0,0.9932,3.24,0.64,11.2,7,116.0
852,8.0,0.17,0.48,1.7,0.057,31.0,98.0,0.9943,3.15,0.41,10.3,6,67.0
853,6.2,0.25,0.47,11.6,0.048,57.0,195.0,0.9968,3.19,0.5,9.5,5,138.0
854,6.1,0.17,0.27,12.6,0.058,57.0,162.0,0.9978,3.39,0.43,8.9,5,105.0
855,7.6,0.39,0.22,2.8,0.036,19.0,113.0,0.9926,3.03,0.36,10.2,5,94.0
856,6.8,0.37,0.47,11.2,0.058,44.0,136.0,0.9968,3.01,0.64,9.2,5,92.0
857,7.1,0.18,0.42,1.4,0.045,47.0,157.0,0.9916,3.01,0.36,10.5,6,110.0
858,8.0,0.17,0.26,1.5,0.049,56.0,189.0,0.9946,3.21,0.62,9.5,6,133.0
859,8.0,0.2,0.42,1.5,0.041,35.0,125.0,0.9925,3.11,0.49,11.4,7,90.0
860,6.8,0.19,0.32,7.05,0.03,54.0,188.0,0.9935,3.25,0.37,11.1,8,134.0
861,7.6,0.19,0.38,10.6,0.058,48.0,174.0,0.9962,3.13,0.38,10.5,6,126.0
862,6.8,0.34,0.49,2.8,0.058,23.0,185.0,0.9928,3.39,0.64,12.0,6,162.0
863,6.2,0.17,0.46,1.6,0.039,38.0,123.0,0.993,3.38,0.51,9.7,6,85.0
864,6.6,0.17,0.44,1.6,0.042,47.0,140.0,0.993,3.32,0.51,10.2,6,93.0
865,8.0,0.4,0.22,8.2,0.04,15.0,86.0,0.9956,3.09,0.36,9.5,4,71.0
866,7.0,0.24,0.35,1.5,0.052,51.0,128.0,0.9941,3.39,0.59,10.4,7,77.0
867,6.3,0.4,0.44,11.0,0.05,50.0,195.0,0.9972,3.19,0.57,9.3,4,145.0
868,7.1,0.2,0.41,2.1,0.054,24.0,166.0,0.9948,3.39,0.62,10.5,6,142.0
869,6.2,0.34,0.29,7.6,0.047,45.0,195.0,0.9955,3.35,0.62,10.0,6,150.0
870,7.1,0.3,0.36,6.8,0.055,44.5,195.0,0.9972,3.39,0.64,10.2,6,150.5
871,7.9,0.4,0.46,10.6,0.058,33.0,195.0,0.9978,3.01,0.64,9.1,3,162.0
872,8.0,0.17,0.38,1.8,0.04,39.0,148.0,0.9942,3.16,0.64,10.2,6,109.0
873,7.5,0.17,0.37,1.5,0.058,18.0,86.0,0.9936,3.39,0.64,10.7,5,68.0
874,7.1,0.4,0.24,6.0,0.044,15.0,86.0,0.9956,3.21,0.56,9.7,5,71.0
875,7.1,0.17,0.34,5.3,0.034,33.0,104.0,0.9953,3.37,0.52,9.3,7,71.0
876,7.5,0.17,0.34,1.4,0.035,15.0,102.0,0.9918,3.05,0.64,11.0,5,87.0
877,8.0,0.4,0.3,2.1,0.047,17.0,138.0,0.995,3.22,0.64,10.8,4,121.0
878,7.7,0.275,0.3,1.2,0.039,19.0,86.0,0.992,3.01,0.56,10.7,5,67.0
879,7.3,0.4,0.32,5.2,0.043,18.0,104.0,0.9952,3.24,0.45,10.7,4,86.0
880,7.5,0.33,0.48,13.0,0.048,55.0,195.0,0.9978,3.01,0.4,8.8,5,140.0
881,7.2,0.21,0.37,1.6,0.049,23.0,94.0,0.9924,3.16,0.48,10.9,7,71.0
882,7.3,0.17,0.4,2.0,0.05,24.0,92.0,0.9932,3.14,0.45,10.5,5,68.0
883,6.5,0.19,0.22,1.3,0.046,23.0,107.0,0.9937,3.29,0.45,10.0,5,84.0
884,7.0,0.31,0.49,1.7,0.03,15.0,86.0,0.9918,3.07,0.43,10.4,5,71.0
885,8.0,0.4,0.38,1.2,0.038,15.0,86.0,0.9934,3.03,0.43,9.2,5,71.0
886,6.1,0.37,0.36,4.7,0.035,36.0,116.0,0.991,3.31,0.62,12.6,6,80.0
887,7.3,0.24,0.34,7.5,0.048,29.0,152.0,0.9962,3.1,0.54,9.0,5,123.0
888,6.9,0.21,0.49,1.2,0.058,52.0,123.0,0.9932,3.03,0.39,9.2,6,71.0
889,7.6,0.29,0.42,1.3,0.035,18.0,86.0,0.9908,3.01,0.39,11.3,5,68.0
890,8.0,0.29,0.49,2.2,0.05,17.0,119.0,0.9962,3.12,0.64,10.3,4,102.0
891,8.0,0.26,0.41,2.2,0.049,29.0,111.0,0.9941,3.01,0.44,10.0,5,82.0
892,7.5,0.21,0.34,1.2,0.058,26.0,111.0,0.9931,3.39,0.47,10.7,6,85.0
893,7.2,0.4,0.24,10.0,0.058,35.0,195.0,0.9978,3.39,0.47,9.0,5,160.0
894,5.8,0.3,0.22,1.2,0.058,48.0,166.0,0.9944,3.3,0.54,8.7,4,118.0
895,8.0,0.26,0.36,2.0,0.054,30.0,121.0,0.992,3.09,0.64,11.6,7,91.0
896,7.0,0.21,0.28,7.5,0.058,45.0,185.0,0.9966,3.34,0.55,9.4,5,140.0
897,6.7,0.26,0.26,4.0,0.058,35.5,195.0,0.9956,3.31,0.64,9.5,5,159.5
898,6.7,0.26,0.26,4.1,0.058,36.0,195.0,0.9956,3.3,0.64,9.5,5,159.0
899,8.0,0.26,0.37,1.9,0.058,48.0,159.0,0.9949,3.37,0.64,10.9,6,111.0
900,8.0,0.22,0.38,13.0,0.054,32.0,126.0,0.9978,3.22,0.5,9.7,5,94.0
901,6.4,0.3,0.49,5.5,0.048,57.0,172.0,0.9942,3.08,0.45,9.1,6,115.0
902,7.5,0.19,0.34,2.6,0.037,33.0,125.0,0.9923,3.1,0.49,11.1,7,92.0
903,8.0,0.33,0.44,6.35,0.03,15.0,87.0,0.9917,3.01,0.4,12.6,7,72.0
904,6.9,0.2,0.36,1.5,0.031,38.0,147.0,0.9931,3.35,0.56,11.0,6,109.0
905,8.0,0.37,0.32,1.6,0.04,32.0,166.0,0.992,3.01,0.55,11.3,7,134.0
906,8.0,0.29,0.33,9.1,0.036,28.0,118.0,0.9953,3.01,0.4,10.9,7,90.0
907,7.7,0.34,0.3,8.0,0.048,25.0,192.0,0.9951,3.01,0.47,10.9,5,167.0
908,6.2,0.4,0.45,12.0,0.049,27.0,186.0,0.9974,3.17,0.5,9.3,6,159.0
909,6.4,0.4,0.22,3.2,0.033,28.0,124.0,0.9904,3.22,0.54,12.7,7,96.0
910,7.5,0.28,0.33,7.7,0.048,42.0,180.0,0.9974,3.37,0.59,10.1,6,138.0
911,7.8,0.26,0.44,1.3,0.037,43.0,132.0,0.9944,3.18,0.64,10.0,5,89.0
912,6.5,0.26,0.34,13.0,0.051,56.0,195.0,0.9978,3.39,0.42,9.8,5,139.0
913,6.3,0.34,0.29,6.2,0.046,29.0,195.0,0.9952,3.29,0.53,10.1,6,166.0
914,6.8,0.17,0.33,4.7,0.058,31.0,118.0,0.9956,3.39,0.39,9.0,7,87.0
915,6.3,0.27,0.25,5.8,0.038,52.0,155.0,0.995,3.28,0.38,9.4,6,103.0
916,7.4,0.2,0.37,13.0,0.048,43.0,190.0,0.9978,3.03,0.42,9.2,6,147.0
917,6.3,0.23,0.22,5.1,0.035,29.0,142.0,0.9942,3.36,0.36,10.1,7,113.0
918,7.3,0.31,0.49,10.2,0.041,57.0,160.0,0.9977,3.06,0.45,8.6,5,103.0
919,5.8,0.24,0.45,3.8,0.03,21.0,128.0,0.992,3.39,0.49,11.2,8,107.0
920,7.0,0.24,0.32,1.3,0.037,39.0,123.0,0.992,3.17,0.42,11.2,8,84.0
921,7.0,0.17,0.33,4.0,0.034,17.0,127.0,0.9934,3.19,0.39,10.6,7,110.0
922,8.0,0.21,0.49,13.0,0.049,57.0,195.0,0.9978,3.01,0.51,9.3,6,138.0
923,7.2,0.21,0.35,13.0,0.048,35.0,178.0,0.9978,3.05,0.47,8.9,6,143.0
924,7.1,0.21,0.4,1.2,0.058,24.0,156.0,0.9928,3.39,0.43,10.6,6,132.0
925,8.0,0.17,0.31,6.7,0.038,29.0,132.0,0.9945,3.1,0.36,10.6,7,103.0
926,7.4,0.24,0.31,8.4,0.045,52.0,183.0,0.9963,3.09,0.36,8.8,5,131.0
927,5.8,0.24,0.33,1.3,0.033,25.0,97.0,0.9906,3.39,0.38,11.0,8,72.0
928,6.5,0.28,0.26,8.8,0.04,44.0,139.0,0.9956,3.32,0.37,10.2,6,95.0
929,6.5,0.29,0.25,10.6,0.039,32.0,120.0,0.9962,3.31,0.36,10.1,6,88.0
930,5.8,0.29,0.22,2.6,0.03,15.0,120.0,0.99022,3.39,0.64,14.0,7,105.0
931,6.3,0.17,0.42,2.8,0.03,45.0,107.0,0.9908,3.27,0.43,11.8,6,62.0
932,6.3,0.17,0.4,1.6,0.033,57.0,148.0,0.9914,3.39,0.53,11.4,5,91.0
933,7.9,0.29,0.39,6.7,0.036,15.0,117.0,0.9938,3.12,0.42,10.7,5,102.0
934,5.8,0.32,0.45,4.9,0.03,25.0,191.0,0.9922,3.39,0.49,11.5,7,166.0
935,7.2,0.37,0.22,2.0,0.03,27.0,87.0,0.9903,3.3,0.59,12.6,7,60.0
936,6.1,0.29,0.27,1.7,0.03,15.0,86.0,0.99022,3.21,0.51,12.6,7,71.0
937,8.0,0.22,0.4,2.4,0.054,18.0,151.0,0.9952,3.04,0.46,9.3,4,133.0
938,8.0,0.18,0.37,1.3,0.04,15.0,96.0,0.9912,3.06,0.61,12.1,6,81.0
939,6.5,0.22,0.34,12.0,0.053,55.0,177.0,0.9978,3.39,0.44,9.9,6,122.0
940,7.4,0.18,0.4,1.6,0.047,22.0,102.0,0.9937,3.28,0.44,10.7,5,80.0
941,6.5,0.4,0.22,1.4,0.047,15.0,86.0,0.9932,3.26,0.36,10.0,4,71.0
942,7.0,0.17,0.38,2.2,0.047,33.0,96.0,0.9928,3.13,0.39,10.4,8,63.0
943,5.9,0.4,0.22,1.4,0.04,15.0,86.0,0.9922,3.29,0.52,10.5,5,71.0
944,8.0,0.4,0.34,8.3,0.037,33.0,195.0,0.9976,3.31,0.64,9.7,5,162.0
945,5.8,0.4,0.22,1.4,0.04,15.0,86.0,0.9922,3.29,0.52,10.5,5,71.0
946,6.4,0.4,0.22,12.9,0.042,26.0,138.0,0.9974,3.28,0.36,9.0,5,112.0
947,6.7,0.17,0.32,12.4,0.051,34.0,106.0,0.9978,3.39,0.45,9.2,6,72.0
948,6.0,0.4,0.3,1.6,0.047,30.0,117.0,0.9931,3.17,0.48,10.1,6,87.0
949,6.6,0.25,0.39,1.45,0.04,40.0,89.0,0.9911,3.35,0.4,11.4,7,49.0
950,8.0,0.36,0.45,1.6,0.042,15.0,124.0,0.9944,3.01,0.46,10.8,5,109.0
951,8.0,0.23,0.4,1.5,0.044,19.0,135.0,0.9937,3.01,0.49,10.9,5,116.0
952,6.3,0.4,0.45,13.0,0.047,33.0,182.0,0.9974,3.2,0.46,9.2,6,149.0
953,6.5,0.17,0.29,1.95,0.038,57.0,166.0,0.99022,3.12,0.36,12.9,7,109.0
954,6.4,0.17,0.29,5.85,0.042,24.0,99.0,0.992,3.23,0.36,12.0,7,75.0
955,5.8,0.17,0.27,1.3,0.047,21.0,100.0,0.9928,3.27,0.46,9.5,5,79.0
956,7.9,0.25,0.29,5.3,0.031,33.0,117.0,0.9918,3.06,0.36,11.8,7,84.0
957,6.9,0.2,0.28,1.2,0.048,36.0,159.0,0.9936,3.19,0.43,9.1,6,123.0
958,6.9,0.23,0.34,4.0,0.047,24.0,128.0,0.9944,3.2,0.52,9.7,6,104.0
959,6.8,0.39,0.31,13.0,0.043,28.0,162.0,0.9978,3.17,0.54,9.1,5,134.0
960,8.0,0.22,0.42,2.3,0.053,27.0,114.0,0.994,3.01,0.43,10.0,5,87.0
961,7.4,0.4,0.34,4.7,0.042,19.0,127.0,0.9953,3.25,0.42,10.4,5,108.0
962,6.7,0.25,0.34,12.85,0.048,30.0,161.0,0.9978,3.39,0.47,9.5,6,131.0
963,6.0,0.26,0.42,5.2,0.03,57.0,178.0,0.9914,3.39,0.4,12.3,8,121.0
964,6.1,0.31,0.37,8.4,0.031,57.0,170.0,0.9934,3.39,0.4,11.7,8,113.0
965,8.0,0.28,0.46,3.2,0.058,39.0,133.0,0.996,3.14,0.58,9.5,5,94.0
966,8.0,0.31,0.49,6.9,0.034,26.0,91.0,0.9937,3.01,0.36,11.5,5,65.0
967,8.0,0.17,0.33,1.2,0.058,17.0,86.0,0.9921,3.14,0.46,10.6,6,69.0
968,8.0,0.34,0.49,7.3,0.052,30.0,146.0,0.9978,3.17,0.61,10.2,5,116.0
969,7.2,0.24,0.3,1.6,0.048,27.0,131.0,0.9933,3.25,0.45,10.5,5,104.0
970,7.2,0.25,0.32,1.5,0.047,27.0,132.0,0.9933,3.26,0.44,10.5,5,105.0
971,6.8,0.32,0.22,7.5,0.041,57.0,195.0,0.9959,3.14,0.41,8.9,5,138.0
972,8.0,0.27,0.32,1.2,0.031,15.0,151.0,0.9936,3.03,0.41,10.6,5,136.0
973,8.0,0.34,0.32,1.3,0.041,15.0,188.0,0.9953,3.17,0.49,9.5,5,173.0
974,7.0,0.17,0.37,5.7,0.03,29.0,111.0,0.9938,3.2,0.49,10.8,6,82.0
975,6.7,0.25,0.23,7.2,0.038,57.0,195.0,0.9952,3.14,0.36,9.5,5,138.0
976,6.9,0.32,0.22,7.6,0.042,57.0,195.0,0.9959,3.13,0.4,8.9,5,138.0
977,6.1,0.4,0.22,1.3,0.042,24.0,86.0,0.9937,3.31,0.38,9.4,4,62.0
978,5.8,0.395,0.22,1.3,0.035,26.0,102.0,0.992,3.39,0.36,10.6,6,76.0
979,7.9,0.17,0.3,4.8,0.037,37.0,171.0,0.9967,3.39,0.44,9.0,4,134.0
980,7.6,0.33,0.36,2.1,0.034,26.0,172.0,0.9944,3.39,0.48,10.5,4,146.0
981,7.8,0.3,0.29,13.0,0.054,23.0,135.0,0.9978,3.16,0.38,9.0,6,112.0
982,5.8,0.26,0.27,4.1,0.058,57.0,189.5,0.9942,3.27,0.38,9.4,6,132.5
983,7.5,0.17,0.34,1.3,0.055,50.0,153.0,0.9945,3.29,0.64,9.6,6,103.0
984,6.6,0.25,0.41,7.4,0.043,29.0,151.0,0.9946,3.15,0.6,10.2,7,122.0
985,8.0,0.23,0.49,1.2,0.057,15.0,86.0,0.9928,3.07,0.38,10.4,6,71.0
986,6.0,0.24,0.32,6.3,0.03,34.0,129.0,0.9946,3.39,0.41,10.4,5,95.0
987,6.1,0.4,0.27,1.2,0.039,15.0,86.0,0.9927,3.23,0.36,9.5,5,71.0
